sensor id  | sensor name      | value      | unit         | status | lnr        | lc         | lnc        | unc      | uc         | unr        | phys   | nhys  
0x6a       | PwrOk Sig. Drop  | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x6b       | PwrOn TimeOut    | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x6c       | PwrCap Status    | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x6d       | HDD Backplane    | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x6e       | HDD BP Status    | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x6f       | Riser1 Card      | 0x0        | discrete     | 0x8002 | na         | na         | na         | na       | na         | na         | na     | na    
0x70       | Riser2 Card      | 0x0        | discrete     | 0x8002 | na         | na         | na         | na       | na         | na         | na     | na    
0x71       | Riser3 Card      | 0x0        | discrete     | 0x8002 | na         | na         | na         | na       | na         | na         | na     | na    
0x72       | SAS Cable        | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x73       | RAID Presence    | 0x0        | discrete     | 0x8002 | na         | na         | na         | na       | na         | na         | na     | na    
0x74       | CPU Usage        | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x75       | Memory Usage     | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x76       | PS Redundancy    | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x77       | BMC Boot Up      | 0x0        | discrete     | 0x8002 | na         | na         | na         | na       | na         | na         | na     | na    
0x78       | BMC Time Hopping | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x79       | NTP Sync Failed  | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x7a       | SEL Status       | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x7b       | Op. Log Full     | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x7c       | Sec. Log Full    | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x7d       | Host Loss        | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x7e       | Cert OverDue     | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x7f       | RTC Time         | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x80       | RAID Status      | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x81       | RAID PCIE ERR    | 0x0        | discrete     | 0x8000 | na         | na         | na         | na       | na         | na         | na     | na    
0x82       | RAID Card BBU    | 0x0        | discrete     | 0x8004 | na         | na         | na         | na       | na         | na         | na     | na    
0x83       | DISK0            | 0x0        | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x84       | DISK1            | 0x0        | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x85       | DISK2            | 0x0        | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
0x86       | DISK3            | 0x0        | discrete     | 0x8001 | na         | na         | na         | na       | na         | na         | na     | na    
